ts,order_id,symbol_id,price,quantity,venue,cost
2024-06-07T20:00:00Z,bb_flatten_META,6,493.08324,100,XNAS,0.5
2024-06-07T20:00:00Z,bb_flatten_ABBV,28,169.462355,100,XNYS,0.5
2024-06-07T20:00:00Z,bb_short_ABT,35,107.553105,100,XNYS,0.752192362
2024-06-10T20:00:00Z,bb_short_META,6,502.47435,100,XNAS,1.6249683134999997
2024-06-10T20:00:00Z,bb_flatten_PYPL,11,67.1067725,100,XNAS,0.5
2024-06-10T20:00:00Z,bb_long_PEP,30,165.941475,100,XNYS,0.5
2024-06-10T20:00:00Z,bb_flatten_COST,33,848.552085,100,XNYS,0.5
2024-06-11T20:00:00Z,bb_short_AAPL,1,206.40538575,100,XNAS,0.9706559025
2024-06-11T20:00:00Z,bb_long_JPM,17,194.40859,100,XNYS,0.5
2024-06-11T20:00:00Z,bb_flatten_PEP,30,165.0287325,100,XNYS,0.8792134988
2024-06-11T20:00:00Z,bb_flatten_ABT,35,105.8364525,100,XNYS,0.5
2024-06-12T20:00:00Z,bb_flatten_AAPL,1,212.41008925,100,XNAS,0.5
2024-06-12T20:00:00Z,bb_short_MSFT,2,439.27715325,100,XNAS,1.4853025087
2024-06-12T20:00:00Z,bb_short_ORCL,14,140.344905,100,XNAS,0.8246622400000001
2024-06-12T20:00:00Z,bb_short_AVGO,32,148.55185275,100,XNYS,0.8427995946
2024-06-13T20:00:00Z,bb_flatten_META,6,504.226025,100,XNAS,0.5
2024-06-13T20:00:00Z,bb_flatten_JPM,17,193.611585,100,XNYS,0.9423816027999999
2024-06-13T20:00:00Z,bb_short_HD,23,347.79303,100,XNYS,1.2831225963
2024-06-14T20:00:00Z,bb_flatten_MSFT,2,441.00122275,100,XNAS,0.5
2024-06-14T20:00:00Z,bb_short_NFLX,8,669.212655,100,XNAS,1.9934599676
2024-06-14T20:00:00Z,bb_short_ADBE,9,525.1786725,100,XNAS,1.6751448662
2024-06-14T20:00:00Z,bb_flatten_HD,23,346.92671,100,XNYS,0.5
2024-06-17T20:00:00Z,bb_short_MSFT,2,446.55733275,100,XNAS,1.5013917054
2024-06-17T20:00:00Z,bb_short_TSLA,5,187.39314,100,XNAS,0.9286388394
2024-06-17T20:00:00Z,bb_short_QCOM,16,222.164445,100,XNAS,1.0054834235
2024-06-17T20:00:00Z,bb_short_HD,23,349.412625,100,XNYS,1.2867019012
2024-06-17T20:00:00Z,bb_long_PFE,27,26.986745,100,XNYS,0.5
2024-06-18T20:00:00Z,bb_flatten_MSFT,2,444.75816175,100,XNAS,0.5
2024-06-18T20:00:00Z,bb_flatten_TSLA,5,184.906215,100,XNAS,0.5
2024-06-18T20:00:00Z,bb_long_AMD,13,154.6686575,100,XNAS,0.5
2024-06-18T20:00:00Z,bb_flatten_PFE,27,27.4031475,100,XNYS,0.575060956
2024-06-20T20:00:00Z,bb_flatten_NFLX,8,679.1997575,100,XNAS,0.5
2024-06-20T20:00:00Z,bb_flatten_ADBE,9,523.0807375,100,XNAS,0.5
2024-06-20T20:00:00Z,bb_flatten_AMD,13,161.739555,100,XNAS,0.8719444165
2024-06-20T20:00:00Z,bb_flatten_ORCL,14,142.9457275,100,XNAS,0.5
2024-06-20T20:00:00Z,bb_flatten_QCOM,16,215.5238675,100,XNAS,0.5
2024-06-20T20:00:00Z,bb_flatten_HD,23,353.52836,100,XNYS,0.5
2024-06-20T20:00:00Z,bb_long_TMO,31,557.3493025,100,XNYS,0.5
2024-06-20T20:00:00Z,bb_flatten_AVGO,32,172.383085,100,XNYS,0.5
2024-06-21T20:00:00Z,bb_short_GOOGL,3,179.14220325,100,XNAS,0.9104042691999998
2024-06-21T20:00:00Z,bb_short_NFLX,8,685.94847,100,XNAS,2.0304461187
2024-06-21T20:00:00Z,bb_short_CSCO,15,47.2781775,100,XNAS,0.6189847723
2024-06-21T20:00:00Z,bb_short_MA,26,454.7362875,100,XNYS,1.5194671954
2024-06-21T20:00:00Z,bb_flatten_TMO,31,564.45885,100,XNYS,1.7619540585
2024-06-24T20:00:00Z,bb_flatten_GOOGL,3,178.82169425,100,XNAS,0.5
2024-06-24T20:00:00Z,bb_flatten_NFLX,8,669.187255,100,XNAS,0.5
2024-06-24T20:00:00Z,bb_flatten_CSCO,15,47.29182,100,XNAS,0.5
2024-06-24T20:00:00Z,bb_short_WMT,19,68.882775,100,XNYS,0.6667309327
2024-06-24T20:00:00Z,bb_short_JNJ,20,149.08272,100,XNYS,0.8439728112
