symbol,exchange,date,open,high,low,close,volume
AAPL,XNAS,2025-07-18T00:00:00+00:00,210.87,211.79,209.7045,211.18,48974591
AAPL,XNAS,2025-07-21T00:00:00+00:00,212.1,215.78,211.63,212.48,51377434
AAPL,XNAS,2025-07-22T00:00:00+00:00,213.14,214.95,212.2301,214.4,46404072
AAPL,XNAS,2025-07-23T00:00:00+00:00,215.0,215.15,212.41,214.15,46989301
AAPL,XNAS,2025-07-24T00:00:00+00:00,213.9,215.69,213.53,213.76,46022620
AAPL,XNAS,2025-07-25T00:00:00+00:00,214.7,215.24,213.4,213.88,40268781
AAPL,XNAS,2025-07-28T00:00:00+00:00,214.03,214.845,213.06,214.05,37858017
AAPL,XNAS,2025-07-29T00:00:00+00:00,214.175,214.81,210.82,211.27,51411723
AAPL,XNAS,2025-07-30T00:00:00+00:00,211.895,212.39,207.72,209.05,45512514
AAPL,XNAS,2025-07-31T00:00:00+00:00,208.49,209.84,207.16,207.57,80698431
AAPL,XNAS,2025-08-01T00:00:00+00:00,210.865,213.58,201.5,202.38,104434473
AAPL,XNAS,2025-08-04T00:00:00+00:00,204.505,207.88,201.675,203.35,75109298
AAPL,XNAS,2025-08-05T00:00:00+00:00,203.4,205.34,202.16,202.92,44155079
AAPL,XNAS,2025-08-06T00:00:00+00:00,205.63,215.38,205.59,213.25,108483103
AAPL,XNAS,2025-08-07T00:00:00+00:00,218.875,220.85,216.58,220.03,90224834
AAPL,XNAS,2025-08-08T00:00:00+00:00,220.83,231.0,219.25,229.35,113853967
AAPL,XNAS,2025-08-11T00:00:00+00:00,227.92,229.56,224.76,227.18,61806132
AAPL,XNAS,2025-08-12T00:00:00+00:00,228.005,230.8,227.07,229.65,55672301
JPM,XNYS,2025-05-15T00:00:00+00:00,266.745,269.52,264.76,267.49,9214641
JPM,XNYS,2025-05-16T00:00:00+00:00,267.49,268.4593,264.71,267.56,8932912
JPM,XNYS,2025-05-19T00:00:00+00:00,265.53,268.32,261.93,264.88,12145045
JPM,XNYS,2025-05-20T00:00:00+00:00,262.72,266.66,262.3,265.68,8436337
JPM,XNYS,2025-05-21T00:00:00+00:00,264.01,265.65,260.7263,261.04,7464045
JPM,XNYS,2025-05-22T00:00:00+00:00,259.36,262.3,258.8687,260.67,6514113
JPM,XNYS,2025-05-23T00:00:00+00:00,256.77,261.99,256.0001,260.71,6671841
JPM,XNYS,2025-05-27T00:00:00+00:00,262.04,265.3,261.99,265.29,7506555
JPM,XNYS,2025-05-28T00:00:00+00:00,265.695,266.72,262.9,263.49,5535408
JPM,XNYS,2025-05-29T00:00:00+00:00,264.8,265.4099,262.53,264.37,5081992
JPM,XNYS,2025-05-30T00:00:00+00:00,263.7,265.33,262.725,264.0,10977662
JPM,XNYS,2025-06-02T00:00:00+00:00,263.02,265.03,261.9,264.66,6011165
JPM,XNYS,2025-06-03T00:00:00+00:00,263.79,266.58,262.88,266.27,6998383
JPM,XNYS,2025-06-04T00:00:00+00:00,265.75,267.12,264.18,264.22,5915710
JPM,XNYS,2025-06-05T00:00:00+00:00,264.53,264.74,260.31,261.95,8179258
JPM,XNYS,2025-06-06T00:00:00+00:00,264.33,266.65,264.26,265.73,7738134
JPM,XNYS,2025-06-09T00:00:00+00:00,266.0,267.9,263.35,266.74,8285364
