ts,order_id,symbol_id,side,quantity,type,tif,limit_price,state
2022-08-11T20:00:00Z,random_close_WMT,19,SELL,100,MKT,DAY,,NEW
2022-08-12T20:00:00Z,random_sell_AAPL,1,SELL,100,MKT,DAY,,NEW
2022-08-12T20:00:00Z,random_close_QCOM,16,SELL,100,MKT,DAY,,NEW
2022-08-12T20:00:00Z,random_buy_PG,21,BUY,100,MKT,DAY,,NEW
2022-08-30T20:00:00Z,random_close_PG,21,SELL,100,MKT,DAY,,NEW
2022-08-30T20:00:00Z,random_buy_ABBV,28,BUY,100,MKT,DAY,,NEW
2022-09-27T20:00:00Z,random_close_DIS,24,SELL,100,MKT,DAY,,NEW
2022-09-27T20:00:00Z,random_buy_ABT,35,BUY,100,MKT,DAY,,NEW
2022-10-03T20:00:00Z,random_close_NFLX,8,BUY,100,MKT,DAY,,NEW
2022-10-03T20:00:00Z,random_sell_ORCL,14,SELL,100,MKT,DAY,,NEW
2022-10-03T20:00:00Z,random_close_ABBV,28,SELL,100,MKT,DAY,,NEW
2022-10-04T20:00:00Z,random_buy_NVDA,7,BUY,100,MKT,DAY,,NEW
2022-10-19T20:00:00Z,random_close_ABT,35,SELL,100,MKT,DAY,,NEW
2022-10-20T20:00:00Z,random_sell_PYPL,11,SELL,100,MKT,DAY,,NEW
2022-10-24T20:00:00Z,random_close_NVDA,7,SELL,100,MKT,DAY,,NEW
2022-10-24T20:00:00Z,random_sell_WMT,19,SELL,100,MKT,DAY,,NEW
2022-10-28T20:00:00Z,random_close_ORCL,14,BUY,100,MKT,DAY,,NEW
2022-10-31T20:00:00Z,random_close_WMT,19,BUY,100,MKT,DAY,,NEW
2022-11-01T20:00:00Z,random_sell_ADBE,9,SELL,100,MKT,DAY,,NEW
2022-11-01T20:00:00Z,random_buy_CRM,10,BUY,100,MKT,DAY,,NEW
2022-11-07T21:00:00Z,random_close_CRM,10,SELL,100,MKT,DAY,,NEW
2022-11-07T21:00:00Z,random_sell_CSCO,15,SELL,100,MKT,DAY,,NEW
2022-11-08T21:00:00Z,random_close_PYPL,11,BUY,100,MKT,DAY,,NEW
2022-11-09T21:00:00Z,random_sell_MSFT,2,SELL,100,MKT,DAY,,NEW
